"Story","Title","Result","Date","Stability","Duration (s)"
"Search Daily report by date","show all business detail","SUCCESS","2016-11-03T08:39:10.049+07:00","0.0","10.92"
"View Notification","switch to notification setting page","SUCCESS","2016-11-03T08:46:40.191+07:00","0.0","8.14"
"register daily report","update daily report when access from menu","SUCCESS","2016-11-03T08:43:05.373+07:00","0.0","46.31"
"Credit management test 4-6","verify approve customer data","SUCCESS","2016-11-03T09:10:33.760+07:00","0.0","47.78"
"Credit management add and edit","verify approve full data","SUCCESS","2016-11-03T09:05:46.079+07:00","0.0","46.19"
"Credit management add and edit","verify approve required data","SUCCESS","2016-11-03T09:03:26.396+07:00","0.0","138.81"
"register daily report","verify create new company when create daily report","SUCCESS","2016-11-03T08:43:52.507+07:00","0.0","29.96"
"register daily report","verify delete daily report","SUCCESS","2016-11-03T08:44:23.289+07:00","0.0","16.79"
"Search Daily report by date","verify delete daily report with user is manager","SUCCESS","2016-11-03T08:39:48.276+07:00","0.0","17.64"
"Search Daily report by date","verify edit daily report","SUCCESS","2016-11-03T08:39:37.057+07:00","0.0","10.4"
"View Notification","verify mark all as read function","SUCCESS","2016-11-03T08:47:28.616+07:00","0.0","15.46"
"Credit management test 1-3","verify screen View->Duplicate is same","SUCCESS","2016-11-03T08:59:51.537+07:00","0.0","32.96"
"Credit management add and edit","verify tab input customer data","SUCCESS","2016-11-03T09:01:39.616+07:00","0.0","49.85"
"View Notification","verify when delete tracking a user then add tracking that user again","SUCCESS","2016-11-03T08:47:45.007+07:00","0.0","280.14"
"View Notification","view details notification","SUCCESS","2016-11-03T08:47:17.199+07:00","0.0","10.66"
"company management","when add new company, click cancel after fill all fields","SUCCESS","2016-11-03T08:55:39.748+07:00","0.0","14.16"
"company management","when add new company, click reset after fill all fields","SUCCESS","2016-11-03T08:55:24.800+07:00","0.0","13.11"
"company management","when edit company, click cancel after fill all data","SUCCESS","2016-11-03T08:56:12.739+07:00","0.0","15.61"
"company management","when edit company, click reset after fill all data","SUCCESS","2016-11-03T08:55:55.845+07:00","0.0","14.96"
