"Story","Title","Result","Date","Stability","Duration (s)"
"View Notification","create new daily report and logout from system","SUCCESS","2016-11-03T08:46:49.248+07:00","0.0","27.93"
"View Notification","initialization screen when have data","SUCCESS","2016-11-03T08:46:31.783+07:00","0.0","7.67"
"View Notification","initialization screen when have no data","SUCCESS","2016-11-03T08:45:54.922+07:00","0.0","8.05"
"View Notification","logout from system","SUCCESS","2016-11-03T08:46:02.998+07:00","0.0","0.97"
"View Notification","switch to notification setting page","SUCCESS","2016-11-03T08:46:40.191+07:00","0.0","8.14"
"View Notification","verify mark all as read function","SUCCESS","2016-11-03T08:47:28.616+07:00","0.0","15.46"
"View Notification","verify when delete tracking a user then add tracking that user again","SUCCESS","2016-11-03T08:47:45.007+07:00","0.0","280.14"
"View Notification","view details notification","SUCCESS","2016-11-03T08:47:17.199+07:00","0.0","10.66"
