"Story","Title","Result","Date","Stability","Duration (s)"
"Verify all menus by user role","login with role manager of branch","SUCCESS","2016-11-03T08:40:33.095+07:00","0.0","7.61"
"Verify all menus by user role","login with role manager of headquarter","SUCCESS","2016-11-03T08:40:40.746+07:00","0.0","8.09"
"Verify all menus by user role","login with role officer of branch","SUCCESS","2016-11-03T08:41:04.301+07:00","0.0","7.23"
"Verify all menus by user role","login with role officer of headquarter","SUCCESS","2016-11-03T08:41:11.585+07:00","0.0","7.32"
"Verify all menus by user role","login with role staff of branch","SUCCESS","2016-11-03T08:40:17.431+07:00","0.0","8.21"
"Verify all menus by user role","login with role staff of headquarter","SUCCESS","2016-11-03T08:40:25.657+07:00","0.0","7.4"
"Verify all menus by user role","login with role system support of branch","SUCCESS","2016-11-03T08:40:48.871+07:00","0.0","7.26"
"Verify all menus by user role","login with role system support of headquarter","SUCCESS","2016-11-03T08:40:56.224+07:00","0.0","8.03"
