"Story","Title","Result","Date","Stability","Duration (s)"
"Notification Setting display","Open Notification Setting and verify paging last, first, next, previous","SUCCESS","2016-11-03T08:34:37.795+07:00","0.0","14.94"
"Notification Setting display","Open Notification Setting and verify start screen have setting","SUCCESS","2016-11-03T08:34:53.720+07:00","0.0","7.4"
"Notification Setting display","Open Notification Setting and verify start screen with out setting","SUCCESS","2016-11-03T08:35:12.602+07:00","0.0","8.4"
"Notification Setting display","Open Notification Setting click check box enable","SUCCESS","2016-11-03T08:34:05.490+07:00","0.0","29.46"
"Notification Setting display","Open Notification Setting click view notification","SUCCESS","2016-11-03T08:35:01.980+07:00","0.0","9.72"
"Notification Setting display","Open Notification Setting, select one branch, all position, all employee name and add","SUCCESS","2016-11-03T08:37:09.077+07:00","0.0","55.43"
"Notification Setting display","Open Notification Setting, select one branch, all position, one employee name and add","SUCCESS","2016-11-03T08:36:10.251+07:00","0.0","58.71"
"Notification Setting display","Open Notification Setting, select one branch, one position, one employee name and add","SUCCESS","2016-11-03T08:35:21.095+07:00","0.0","49.05"
"Notification Setting display","Open Notification Setting,check button Add with other conditions select dropdown","SUCCESS","2016-11-03T08:38:04.619+07:00","0.0","13.6"
