"Story","Title","Result","Date","Stability","Duration (s)"
"Verify all menus by user role","login with role manager of branch","SUCCESS","2016-11-03T19:58:37.268+07:00","0.0","8.69"
"Verify all menus by user role","login with role manager of headquarter","SUCCESS","2016-11-03T19:58:45.988+07:00","0.0","9.2"
"Verify all menus by user role","login with role officer of branch","SUCCESS","2016-11-03T19:59:13.141+07:00","0.0","8.42"
"Verify all menus by user role","login with role officer of headquarter","SUCCESS","2016-11-03T19:59:21.618+07:00","0.0","8.69"
"Verify all menus by user role","login with role staff of branch","SUCCESS","2016-11-03T19:58:19.278+07:00","0.0","9.44"
"Verify all menus by user role","login with role staff of headquarter","SUCCESS","2016-11-03T19:58:28.749+07:00","0.0","8.48"
"Verify all menus by user role","login with role system support of branch","SUCCESS","2016-11-03T19:58:55.374+07:00","0.0","8.65"
"Verify all menus by user role","login with role system support of headquarter","SUCCESS","2016-11-03T19:59:04.072+07:00","0.0","9.02"
